Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
2.450229815,0,1,0,1,1,1,1,1
2.635719687,1,1,0,1,1,1,1,1
2.635720688,1,1,0,0,1,1,1,1
2.635738187,1,1,1,0,1,1,1,1
2.635756687,1,1,0,0,1,1,1,1
2.635757187,1,1,0,1,1,1,1,1
2.635853187,0,1,0,1,1,1,1,1
2.635854188,0,1,0,0,1,1,1,1
2.635863688,0,1,1,0,1,1,1,1
2.635873188,0,1,0,0,1,1,1,1
2.635873688,0,1,0,1,1,1,1,1
2.635884187,0,1,0,0,1,1,1,1
2.635893687,0,1,1,0,1,1,1,1
2.635903187,0,1,0,0,1,1,1,1
2.635903687,0,1,0,1,1,1,1,1
2.661529500,1,1,0,1,1,1,1,1
2.661531500,1,1,1,1,1,1,1,1
2.676525125,0,1,1,1,1,1,1,1
2.676525625,0,1,0,1,1,1,1,1
2.676526125,0,1,0,0,1,1,1,1
2.676535625,1,1,0,0,1,1,1,1
2.676545125,0,1,0,0,1,1,1,1
2.676545625,0,1,1,0,1,1,1,1
2.676555125,1,1,1,0,1,1,1,1
2.676564625,0,1,1,0,1,1,1,1
2.676565125,0,1,0,0,1,1,1,1
2.676565625,0,1,0,1,1,1,1,1
2.676575125,1,1,0,1,1,1,1,1
2.676584625,0,1,0,1,1,1,1,1
2.676585625,0,1,0,0,1,1,1,1
2.676595125,1,1,0,0,1,1,1,1
2.676604625,0,1,0,0,1,1,1,1
2.676605125,0,1,1,0,1,1,1,1
2.676614625,1,1,1,0,1,1,1,1
2.676624125,0,1,1,0,1,1,1,1
2.676624625,0,1,0,0,1,1,1,1
2.676625125,0,1,0,1,1,1,1,1
2.676634625,1,1,0,1,1,1,1,1
2.676723625,0,1,0,1,1,1,1,1
2.676726625,0,1,0,0,1,1,1,1
2.691730688,0,1,0,1,1,1,1,1
2.706967312,0,1,0,0,1,1,1,1
2.737285000,1,1,0,0,1,1,1,1
2.737288500,1,1,1,0,1,1,1,1
2.737291000,0,1,1,0,1,1,1,1
2.737291500,0,1,0,0,1,1,1,1
2.737294500,0,1,1,0,1,1,1,1
2.737297000,1,1,1,0,1,1,1,1
2.737297500,1,1,0,0,1,1,1,1
2.737300500,1,1,1,0,1,1,1,1
2.737303000,0,1,1,0,1,1,1,1
2.737303500,0,1,0,0,1,1,1,1
2.737306500,0,1,1,0,1,1,1,1
2.737309000,1,1,1,0,1,1,1,1
2.737309500,1,1,0,0,1,1,1,1
2.737312500,1,1,1,0,1,1,1,1
2.737315500,1,1,0,0,1,1,1,1
2.737318500,1,1,1,0,1,1,1,1
2.737321000,0,1,1,0,1,1,1,1
2.737321500,0,1,0,0,1,1,1,1
2.737324500,0,1,1,0,1,1,1,1
2.737327500,0,1,0,0,1,1,1,1
2.737330500,0,1,1,0,1,1,1,1
2.737341500,0,1,0,0,1,1,1,1
2.737344500,0,1,1,0,1,1,1,1
2.737347000,1,1,1,0,1,1,1,1
